,College Name or Type,guess,name,big10,pac,sisters,hbcu
865,"top 50, private",1,1,,,,
866,uc-public,,1,,,,
867,midsize university,,,,,,
868,nat. univ. top 5,1,1,,,,
869,medium,,,,,,
870,top tier regional,,,,,,
871,state u.,,,,,,
872,t12 private,1,1,,,,
873,top 30 private unive,1,1,,,,
874,uc davs,,1,,,,
875,canadian uni,,,,,,
876,lare public,,,,,,
877,private liberal arts women's c,,,,,,
878,university of chicag,,1,,,,
879,"private, top liberal arts",,,,,,
880,arizona,,1,,,,
881,njit,,1,,,,
882,generic public,,,,,,
883,purdue,,1,,,,
884,colorado college - top 25 lib,,1,,,,
885,auburn,,1,,,,
886,small state liberal arts,,,,,,
887,top ten lac,1,1,,,,
888,religious school,,,,,,
889,top 25 nat,1,1,,,,
890,small hbcu,,,,,,1
891,george washington university,,1,,,,
892,uncw,,1,,,,
893,#1 regional,1,1,,,,
894,aerospace engineering,,,,,,
895,university of nebraska-lincoln,,1,,,,
896,the vines,,,,,,
897,virginia tech,,1,,,,
898,top-30 research university,1,1,,,,
899,usnwr top 10,1,1,,,,
900,top 10 in the nation,1,1,,,,
901,john jay cege,,,,,,
902,stanford,,1,,,,
903,university of pittsburgh,,1,,,,
904,top 2 in china,,,,,,
905,t30 liberal arts,1,1,,,,
906,top-30 public,1,1,,,,
907,university of hartford,,1,,,,
908,utah valley university,,1,,,,
909,"private, international",,,,,,
910,northeast,,1,,,,
911,top 20 - private,1,1,,,,
912,college of charleston,,1,,,,
913,trinity university,,1,,,,
914,gig\'em,,,,,,
915,4yr,,,,,,
916,national top,,,,,,
917,university of nebraska at omah,,1,,,,
918,"california state university, f",,1,,,,
919,psu,,1,,,,
920,private catholic college,,,,,,
921,jesuit (not bc or georgetown),,,,,,
922,private (good),,,,,,
923,top 15 public school,1,1,,,,
924,top 5 public university,1,1,,,,
925,umsl,,1,,,,
926,mba,,,,,,
927,university of chicago,,1,,,,
928,florida gulf coast university,,1,,,,
929,ua,,1,,,,
930,milligan college,,1,,,,
931,william & mary,,1,,,,
932,tcnj,,1,,,,
933,average state school,,,,,,
934,uc davis,,1,,,,
935,midwest - top 20,1,1,,,,
936,auburn university,,1,,,,
937,private lib arts,,,,,,
938,university of minnes,,1,,,,
939,military college,,1,,,,
940,private top 25,1,1,,,,
941,top tier public,,,,,,
942,top 10 (ivy),1,1,,,,
