,acronym,full,full_select
134,lmu,"Lincoln Memorial University, Loyola Marymount University",Lincoln Memorial University
135,long beach state,"California State University, Long Beach","California State University, Long Beach"
136,lsc,Lyndon State College,Lyndon State College
137,lsu,Louisiana State University,Louisiana State University
138,lssu,Lake Superior State University,Lake Superior State University
139,ltu,"Lawrence Technological University, Lawrence Tech",Lawrence Technological University
140,lu,"Liberty University, Lipscomb University, Lehigh University",Liberty University
141,luc,Loyola University Chicago,Loyola University Chicago
142,madison,"James Madison University, University of Wisconsin‰ÛÒMadison",University of Wisconsin Madison
143,mason,George Mason University,George Mason University
144,mcla,Massachusetts College of Liberal Arts,Massachusetts College of Liberal Arts
145,memphis,University of Memphis,University of Memphis
146,"merchant marine, kings point",U.S. Merchant Marine Academy,U.S. Merchant Marine Academy
147,metro state,Metropolitan State College of Denver,Metropolitan State College of Denver
148,milwaukee,University of Wisconsin‰ÛÒMilwaukee,University of Wisconsin Milwaukee
149,missouri s&t,Missouri University of Science and Technology,Missouri University of Science and Technology
150,mit,Massachusetts Institute of Technology,Massachusetts Institute of Technology
151,mizzou,University of Missouri,University of Missouri
152,mmc,Marymount Manhattan College,Marymount Manhattan College
153,mt. sac,Mt. San Antonio College,Mt. San Antonio College
154,msu,"Michigan State University, Mississippi State University, Missouri State University, Morehead State University, Murray State University, Montana State University, Montclair State University, Mountain State University, Morgan State University, University of Missouri (antiquated)",Michigan State University
155,mtsu,Middle Tennessee State University,Middle Tennessee State University
156,mtu,Michigan Technological University,Michigan Technological University
157,mu,"Miami University, Marymount University, University of Missouri Misericordia UniversityMillersville University",Miami University
158,mudd,Harvey Mudd College,Harvey Mudd College
159,mville,Manhattanville College,Manhattanville College
160,mvsu,Mississippi Valley State University,Mississippi Valley State University
161,muw,Mississippi University for Women,Mississippi University for Women
162,navy,U.S. Naval Academy,U.S. Naval Academy
163,nau,"Northern Arizona University, National American University",Northern Arizona University
164,nccu,North Carolina Central University,North Carolina Central University
165,ncsu,North Carolina State University,North Carolina State University
166,nc a&t,North Carolina A&T State University,North Carolina A&T State University
167,nd,"University of North Dakota, University of Notre Dame",University of Notre Dame
168,ndsu,North Dakota State University,North Dakota State University
169,ne,"Northeastern University, technically incorrect",Northeastern University
170,neu,Northeastern University,Northeastern University
171,niu,Northern Illinois University,Northern Illinois University
172,nku,Northern Kentucky University,Northern Kentucky University
173,nmsu,New Mexico State University,New Mexico State University
174,nmu,Northern Michigan University,Northern Michigan University
175,nodak,University of North Dakota,University of North Dakota
176,nova,"Northern Virginia Community College, Villanova University",Villanova University
177,nsu,"Norfolk State University, Northern State University (South Dakota), Northeastern State University (Oklahoma), Northwestern State University (Louisiana), Nova Southeastern University",Norfolk State UniversityUniversity
178,nu,"Northeastern University, University of Nebraska-Lincoln, Niagara University, Northwestern University, Norwich University",Northeastern University
179,nw,"Northwestern University, technically incorrect",Northwestern University
180,nwmsu,Northwest Missouri State University,Northwest Missouri State University
181,nyit,New York Institute of Technology; New York Tech,New York Institute of Technology
182,nymc,New York Medical College,New York Medical College
183,nyu,New York University,New York University
184,oc,Oklahoma Christian University,Oklahoma Christian University
185,occ,Orange Coast College,Orange Coast College
186,ocu,Oklahoma City University,Oklahoma City University
187,odu,"Ohio Dominican University, Old Dominion University",Old Dominion University
188,oit,Oregon Institute of Technology,Oregon Institute of Technology
189,ok state,Oklahoma State University,Oklahoma State University
190,ole miss,University of Mississippi,University of Mississippi
191,onu,Ohio Northern University,Ohio Northern University
192,oru,Oral Roberts University,Oral Roberts University
193,osu,"The Ohio State University, Oklahoma State University, Oregon State University","The Ohio State University,"
194,ou,"Oakland University, Ohio University, University of Oklahoma, Oakwood University",Ohio University
195,oxy,Occidental College,Occidental College
196,pacific,University of the Pacific,University of the Pacific
197,pc,Providence College,Providence College
198,pcc,"Pasadena City College, Pensacola Christian College, Pima Community College, Polk Community College, Portland Community College, Pueblo Community College",Pasadena City College
199,penn,University of Pennsylvania,University of Pennsylvania
200,pitt,University of Pittsburgh,University of Pittsburgh
201,plnu,Point Loma Nazarene University,Point Loma Nazarene University
202,pom,Pomona College,Pomona College
203,psu,"Pennsylvania State University, Portland State University, Plymouth State University",Pennsylvania State University
204,pts,Princeton Theological Seminary,Princeton Theological Seminary
205,pvamu,Prairie View A&M University,Prairie View A&M University
206,qu,Quinnipiac University,Quinnipiac University
207,reserve,Case Western Reserve University,Case Western Reserve University
208,rhit,Rose-Hulman Institute of Technology,Rose-Hulman Institute of Technology
209,ric,Rhode Island College,Rhode Island College
210,risd,Rhode Island School of Design,Rhode Island School of Design
211,rit,Rochester Institute of Technology,Rochester Institute of Technology
212,r-mwc,Randolph-Macon Woman's College,Randolph-Macon Woman's College
213,rpi,Rensselaer Polytechnic Institute,Rensselaer Polytechnic Institute
214,ru,Rutgers University,Rutgers University
215,rwu,Roger Williams University,Roger Williams University
216,rwc,Roberts Wesleyan College,Roberts Wesleyan College
217,sacramento state / sac state,"California State University, Sacramento","California State University, Sacramento"
218,sc,"University of Southern California, University of South Carolina",University of South Carolina
219,scsu,"South Carolina State University, Southern Connecticut State University",South Carolina State University
220,scripps,"Scripps College, Scripps Institution of Oceanography","Scripps College, Scripps Institution of Oceanography"
221,scu,Santa Clara University,Santa Clara University
222,sdsm&t,South Dakota School of Mines and Technology,South Dakota School of Mines and Technology
223,sdsu,"South Dakota State University, San Diego State University",San Diego State University
224,sfsu,San Francisco State University,San Francisco State University
225,semo,Southeast Missouri State University,Southeast Missouri State University
226,sewanee,University of the South,University of the South
227,shc,Spring Hill College,Spring Hill College
228,siue,Southern Illinois University Edwardsville,Southern Illinois University Edwardsville
229,sjc,St. John's College,St. John's College
230,sjfc,St. John Fisher College,St. John Fisher College
231,sjsu,San Jose State University,San Jose State University
232,sju,"Saint Joseph's University, St. John's University (NY)",Saint Joseph's University
233,slu,"Saint Louis University, St. Lawrence University","Saint Louis University, St. Lawrence University"
234,smc,St. Mary's College (CA),St. Mary's College (CA)
235,smu,Southern Methodist University,Southern Methodist University
236,snhu,Southern New Hampshire University,Southern New Hampshire University
