,Major element,major guess,social sciences,arts & humanities,business & management,natural sciences,engineering,health professions,other
2470,bs management,management,,,1,,,,
2471,plus an mba,business administration,,,1,,,,
2472,supply chain man,supply chain management,,,1,,,,
2473,marching b,,,,,,,,
2474,studies of women,gender studies,,,,,,,
2475,governme,government,,,,,,,
2476,humanties major,humanities,1,,,,,,
2477,science minor,science  ,,,,1,,,
2478,exercise physiology,exercise physiology,,,,,,1,
2479,philosophy bo,philosophy,1,,,,,,
2480,cls,medical laboratory science,,,,,,1,
2481,syste,system engineering,,,,,1,,
2482,double business,business,,,1,,,,
2483,poli sc,political science,,,,,,,
2484,african amer,African American studies,,,,,,,
2485,public mgmt,public management,,,1,,,,
2486,biology mino,biology,,,,1,,,
2487,dark side of the for,,,,,,,,
2488,international pol,international politics ,,,,,,,
2489,cultur,culture studies,,,,,,,
2490,minor in soci,sociology,,,,,,,
2491,agriculture leadership,leadership  ,,,1,,,,
2492,ital,Italian,1,,,,,,
2493,chemical engr,chemical engineering,,,,,1,,
2494,ba philosophy,philosophy,1,,,,,,
2495,political science legal studie,political science,,,,,,,
2496,bachelor in fine arts,fine arts,1,,,,,,
2497,strategic communication,communications,1,,,,,,
2498,comparative politics,political studies,,,,,,,
2499,helping profession,helping profession,,,,,,1,
2500,behavioral biol,behavioral biology,,,,,,,
2501,interdisciplinary legal study,legal studies,,,,,,,
2502,pwad,peace war and defense,,,,,,,
2503,designed,,,,,,,,
2504,neural science,neural science,,,,1,,,
2505,radiology,radiology,,,,,,1,
2506,econ mino,economics,,,1,,,,
2507,poly sci double,political science,,,,,,,
2508,french studies,French,1,,,,,,
2509,chid,comparative history of ideas,1,,,,,,
2510,industrial organizational psyc,industrial organizational psychology,,,,,,,
2511,envtl,environmental science,,,,1,,,
2512,english language,English,1,,,,,,
2513,foreign area studies,foreign studies,,,,,,,
2514,film pro,film,1,,,,,,
2515,sec ed,secondary education,,,,,,,
2516,editing,editing,1,,,,,,
2517,political science pre law,political science,,,,,,,
2518,american civ,American studies,,,,,,,
2519,int'l affairs,international affairs,,,,,,,
2520,soc sciences,social science,,,,,,,
2521,intellectual history,history,1,,,,,,
2522,kinesiotherapist,kinesiotherapist,,,,,,1,
2523,afam studies,African American studies,1,,,,,,
2524,romance literature,literature,,1,,,,,
2525,public rel,public relations,1,,,,,,
2526,business econo,economics,,,1,,,,
2527,eth,ethics,1,,,,,,
2528,english arts,English arts,,1,,,,,
2529,just testing some index number,,,,,,,,
2530,agricultural bu,agriculture business management,,,1,,,,
2531,religious s,religion studies,1,,,,,,
2532,entertainment management,entertainment management,,,1,,,,
2533,marke,marketing,,,1,,,,
2534,latin american stud,Latin American studies,1,,,,,,
2535,to pick up a,,,,,,,,
2536,media studie,media studies,,1,,,,,
2537,biz econ ed minor,economics,,,1,,,,
2538,russian lit,Russian literature,,1,,,,,
2539,workforce educataion,workforce education,1,,,,,,
2540,environmental studes,environmental studies,,,,1,,,
2541,something difficult,,,,,,,,
2542,social sci double,social science,1,,,,,,
2543,spanish studies,Spanish,,1,,,,,
2544,marketing communicat,marketing,,,1,,,,
2545,information man,information management,,,1,,,,
2546,'l development,international development studies,1,,,,,,
2547,piano,music,,1,,,,,
2548,music theory,music theory,,1,,,,,
2549,public policy analysis,public policy,1,,,,,,
2550,of justice,justice studies,1,,,,,,
2551,thea,theatre,,1,,,,,
2552,ib,international business,,,1,,,,
2553,int'l rel,international relations,1,,,,,,
2554,educa,education,1,,,,,,
2555,student affairs,student affairs,1,,,,,,
2556,info systems managem,information systems management,,,1,,,,
2557,sleep,,,,,,,,
2558,con,,,,,,,,
2559,comm journalism,journalism,,1,,,,,
2560,hugh downs school of,,,,,,,,
2561,upper half,,,,,,,,
2562,tourism,tourism management,,,1,,,,
2563,politcal theory,political theory,1,,,,,,
2564,indiviualized,,,,,,,,
2565,politics double,political studies,1,,,,,,
2566,consumer affairs,consumer affairs,1,,,,,,
2567,human relations,human relations,1,,,,,,
2568,in busi,business,,,1,,,,
2569,hearing science,science,,,,1,,,
2570,compu,computer engineering,,,,,1,,
2571,honors b,,,,,,,,
2572,entreprene,entrepreneurship,,,1,,,,
2573,csci minor,science,,,,1,,,
2574,org comm,communications,,1,,,,,
2575,double in math,mathematics,,,,1,,,
2576,intl stds,international studies,1,,,,,,
2577,clinical social work,social work,1,,,,,,
2578,coca,,,,,,,,
2579,cola,,,,,,,,
2580,infomation technology,information technology,,,,,1,,
2581,minor in la,Latin American studies,,1,,,,,
2582,doublemajor,,,,,,,,
2583,philosophy pre,philosophy,,1,,,,,
2584,dating,,,,,,,,
2585,biological anthropology,anthropology,1,,,,,,
2586,technical,technical,,,,,1,,
2587,eet,electrical engineering,,,,,1,,
2588,econ mi,economics,,,1,,,,
2589,double major in social science,social science,1,,,,,,
2590,dual major with honors,,,,,,,,
2591,bis,business,,,1,,,,
